time,freq,kload,ACE,AGC
0.0,60.0,0.6303933821082086,0.0,0.0
1.0,59.625881563908436,0.6304032723209652,-0.0,0.0
2.0,59.13768091467991,0.6304974075605375,30.425223112291356,30.425223112291356
3.0,58.79758022759292,0.6311278140490035,80.51541397804873,80.51541397804873
4.0,58.73432683894816,0.6313587664698894,131.52959853404508,131.52959853404508
5.0,58.876077465292376,0.630819891103047,166.02668007011073,166.02668007011073
6.0,59.1113614279803,0.6309164172821786,183.48895532045074,183.48895532045074
7.0,59.360777060003095,0.6309475786233734,188.92631824552265,188.92631824552265
8.0,59.706827784847285,0.631842123267294,187.28298601006964,187.28298601006966
9.0,60.425011068053976,0.6318850581221728,176.57966962497466,176.57966962497466
10.0,60.42545732052834,0.6322870222065067,107.3628273143462,107.3628273143462
11.0,60.40722235693056,0.6312463113634246,101.24259763092034,101.24259763092036
12.0,60.36629106673442,0.6314467328976439,93.19773630645322,93.19773630645324
13.0,60.352099972671915,0.6326861699820227,87.93289031266931,87.93289031266931
14.0,60.342902627531295,0.6326243152071427,81.00829529380846,81.00829529380847
15.0,60.335806276407325,0.6315703170949052,73.91868414042004,73.91868414042004
16.0,60.31378833997414,0.6317217381323256,66.83538497074018,66.83538497074018
17.0,60.30586175634057,0.632399138005432,61.31357894122136,61.31357894122136
18.0,60.29947835208593,0.6329967850380351,54.92616364048097,54.92616364048097
19.0,60.28949675786316,0.6320271668244897,48.58410007207946,48.584100072079465
20.0,60.14986076268132,0.632626080743526,42.55474034103927,42.55474034103928
21.0,60.068988554875496,0.6332306268352766,47.50742449291714,47.50742449291714
22.0,60.052020607398205,0.6326879720393234,51.83606707186145,51.83606707186146
23.0,60.05994381654106,0.6328546236724245,52.19835639428181,52.19835639428181
24.0,60.1024036594462,0.6337068714630345,50.46024357840423,50.46024357840424
25.0,60.13322591397557,0.632890709188216,45.573074926747516,45.573074926747516
26.0,60.13196976907742,0.6338369637207956,40.39971948279114,40.39971948279115
27.0,60.13768574714653,0.6332315209541188,37.34951578091754,37.34951578091754
28.0,60.065235309928326,0.6328670026083334,33.84449887934253,33.84449887934254
29.0,60.025057986230955,0.6337914491638065,36.670101513076375,36.670101513076375
30.0,60.03642938422224,0.6333082981437541,38.971013069254894,38.9710130692549
31.0,60.04131927030413,0.6331343991661785,38.055284330268734,38.05528433026874
32.0,60.063703228291075,0.634805627723208,36.53321456323939,36.5332145632394
33.0,60.07568901533135,0.6341362916876162,33.517446284625926,33.517446284625926
