Time,Load,PV,Wind
00:00:00,0.7271682280590838,7.039548546712148e-05,0.7258693004222168
00:01:00,0.7249841944939365,7.005328519054521e-05,0.724749145792101
00:02:00,0.721823093281223,6.971108491396889e-05,0.7252044218854287
00:03:00,0.7191792631760445,6.936888463739261e-05,0.7254220340783109
00:04:00,0.7164779585033622,6.902668436081632e-05,0.7259551732050651
00:05:00,0.7161905856658428,6.868448408424004e-05,0.7267849444024412
00:06:00,0.714696246910742,6.834228380766376e-05,0.7281939201389982
00:07:00,0.7173975515834242,6.800008353108746e-05,0.7295551501381794
00:08:00,0.7202138053911145,6.765788325451119e-05,0.7307710934929731
00:09:00,0.7165354330708661,6.731568297793487e-05,0.7315161488602158
00:10:00,0.7244094488188976,6.69734827013586e-05,0.7321975983957457
00:11:00,0.7234898557388355,6.663128242478232e-05,0.73295615673885
00:12:00,0.71940916144606,6.628908214820602e-05,0.7333574054834292
00:13:00,0.719466636013564,6.594688187162975e-05,0.7323220616443044
00:14:00,0.7162480602333466,6.560468159505343e-05,0.7312286930634495
00:15:00,0.7169952296108971,6.526248131847715e-05,0.7315758879205058
00:16:00,0.7177423989884475,6.732374912731132e-05,0.7317928489084984
00:17:00,0.7267659060865567,6.938501693614547e-05,0.7319731673833715
00:18:00,0.7240071268463704,7.144628474497961e-05,0.732493870780939
00:19:00,0.7236048048738433,7.350755255381378e-05,0.7323650578811414
00:20:00,0.7271682280590838,7.556882036264792e-05,0.7313223588167337
00:21:00,0.7253865164664636,7.763008817148207e-05,0.7284012164113061
00:22:00,0.7215931950112074,7.969135598031624e-05,0.7252031510970114
00:23:00,0.7176274498534398,8.175262378915038e-05,0.7210344710050822
00:24:00,0.719926432553595,8.381389159798452e-05,0.7181016128271844
00:25:00,0.7207885510661532,8.587515940681869e-05,0.7153627900626135
00:26:00,0.7169377550433933,8.793642721565283e-05,0.7122027472438087
00:27:00,0.7202712799586183,8.999769502448698e-05,0.7077665082676972
00:28:00,0.7196965342835795,9.205896283332113e-05,0.7036685046381345
00:29:00,0.7209609747686648,9.412023064215529e-05,0.6993754114287931
00:30:00,0.718949364906029,9.618149845098943e-05,0.6940315093749577
00:31:00,0.7256738893039829,9.709419547437218e-05,0.6884394262382738
00:32:00,0.7220529915512386,9.800689249775495e-05,0.6823957892264851
00:33:00,0.7165354330708661,9.89195895211377e-05,0.6753545968128126
00:34:00,0.7255589401689753,9.983228654452043e-05,0.6691610732278958
00:35:00,0.724237025116386,0.0001007449835679032,0.6641528141207829
00:36:00,0.7262486349790217,0.00010165768059128593,0.6591274500197583
00:37:00,0.7348123455370998,0.0001025703776146687,0.6538529825452706
00:38:00,0.7421690901775964,0.00010348307463805145,0.6504679344690617
00:39:00,0.7435484797976895,0.00010439577166143422,0.6481735482862364
00:40:00,0.7379734467498131,0.00010530846868481695,0.6465987361717824
00:41:00,0.7341226507270532,0.0001062211657081997,0.6442475516213054
00:42:00,0.7345249726995804,0.00010713386273158247,0.6406020601883337
00:43:00,0.7391804126673946,0.0001080465597549652,0.6342380915414513
00:44:00,0.7376860739122938,0.00010895925677834799,0.6261503633452379
00:45:00,0.740387378584976,0.00010987195380173072,0.6181895415457636
00:46:00,0.742858784987643,0.00010941560529003933,0.6117289324340158
00:47:00,0.7350997183746192,0.00010895925677834799,0.605722743303648
00:48:00,0.7319960917294097,0.00010850290826665659,0.600027580942677
00:49:00,0.7311914477843554,0.0001080465597549652,0.593708341546333
00:50:00,0.7342950744295649,0.00010759021124327385,0.5869967362298569
00:51:00,0.7335479050520144,0.00010713386273158247,0.5802739664132411
00:52:00,0.741421920800046,0.00010667751421989108,0.573932467728521
00:53:00,0.7319386171619058,0.0001062211657081997,0.5671305451514671
00:54:00,0.7343525489970687,0.00010576481719650834,0.5602517701928463
00:55:00,0.7305017529743089,0.00010530846868481695,0.5542084218695128
00:56:00,0.7259612621415024,0.0001048521201731256,0.5486071570556844
00:57:00,0.7260187367090062,0.00010439577166143422,0.5428169041127296
00:58:00,0.7250991436289441,0.00010393942314974283,0.5384129711563617
00:59:00,0.7375136502097822,0.00010348307463805148,0.5333225293346407
01:00:00,0.7390654635323869,0.00010302672612636009,0.5264304378217222
01:01:00,0.7313063969193632,9.919726060270251e-05,0.5187487047567563
01:02:00,0.738088395884821,9.536779507904488e-05,0.511268927089385
01:03:00,0.7362492097246968,9.153832955538728e-05,0.5036660221224966
01:04:00,0.7390654635323869,8.770886403172968e-05,0.49584644928516197
01:05:00,0.7356744640496581,8.387939850807208e-05,0.4878999222852615
01:06:00,0.739985056612449,8.004993298441445e-05,0.4811539327083247
01:07:00,0.7339502270245416,7.622046746075686e-05,0.4761165393947326
01:08:00,0.7322259899994252,7.239100193709928e-05,0.47226798195884384
01:09:00,0.7376285993447899,6.856153641344168e-05,0.4702567696707745
01:10:00,0.7288924650842002,6.473207088978405e-05,0.4690178686268428
01:11:00,0.7372262773722628,6.090260536612646e-05,0.4675879077356523
01:12:00,0.7305017529743089,5.707313984246884e-05,0.46722716309205337
01:13:00,0.7475142249554572,5.324367431881125e-05,0.46726016462154396
01:14:00,0.7339502270245416,4.941420879515362e-05,0.46813893744884605
01:15:00,0.7390079889648831,4.558474327149604e-05,0.46942703456021145
01:16:00,0.7395252600724179,4.6326340156590656e-05,0.4711764200627167
01:17:00,0.7391804126673946,4.706793704168524e-05,0.4736069148413566
01:18:00,0.740387378584976,4.780953392677985e-05,0.4764220937298892
01:19:00,0.7390079889648831,4.855113081187444e-05,0.48061261657623267
